,0,1,2,3,4,5,6,7
1E+11,0.507615128,0.388005927,0.552617024,0.156913764,0.145964792,0.490900385,0.051749645,0.70723717
1E+11,0.507615128,0.388005927,0.552617024,0.156913764,0.145964792,0.490900385,0.051749645,0.70723717
2E+11,0.30662303,0.390258545,0.393139411,0.78614282,0.608045418,0.16014357,0.050665468,0.259465528
2E+11,0.30662303,0.390258545,0.393139411,0.78614282,0.608045418,0.16014357,0.050665468,0.259465528
3E+11,0.232339248,0.328414609,0.618821038,0.565227053,0.62487521,0.089252609,0.378329479,0.474178423
3E+11,0.232339248,0.328414609,0.618821038,0.565227053,0.62487521,0.089252609,0.378329479,0.474178423
4E+11,0.108693159,0.351807146,0.273249107,0.626292833,0.829612505,0.079526382,0.327219788,0.722286686
4E+11,0.108739291,0.351701212,0.273157664,0.626426106,0.829806101,0.07956296,0.327327471,0.722447539
5E+11,0.647600594,0.891253108,0.269255629,0.636366317,0.694204366,0.059717543,0.160858096,0.699359135
5E+11,0.647684582,0.891164924,0.269210737,0.63643541,0.694276035,0.059732375,0.160890587,0.699271369
6E+11,0.538680534,0.729172221,0.364848097,0.406111655,0.459359516,0.049533584,0.456656542,0.937573454
6E+11,0.538680534,0.729172221,0.364848097,0.406111655,0.459359516,0.049533584,0.456656542,0.937573454
7E+11,0.392968668,0.992365702,0.554317049,0.648742648,0.558530684,0.1285493,0.653752055,0.880146681
7E+11,0.392968668,0.992365702,0.554317049,0.648742648,0.558530684,0.1285493,0.653752055,0.880146681
8E+11,0.282212863,0.847242531,0.516717238,0.526871841,0.990144264,0.143611901,0.691666137,0.846376573
8E+11,0.282212863,0.847242531,0.516717238,0.526871841,0.990144264,0.143611901,0.691666137,0.846376573
9E+11,0.264311562,0.852036305,0.558162629,0.620469142,0.76213552,0.116931542,0.944640171,0.750471515
9E+11,0.264311562,0.852036305,0.558162629,0.620469142,0.76213552,0.116931542,0.944640171,0.750471515
1E+12,0.690364176,0.947329514,0.596802046,0.90660835,0.510454166,0.187430336,1,0.936042654
1E+12,0.690364176,0.947329514,0.596802046,0.90660835,0.510454166,0.187430336,1,0.936042654
1.1E+12,0.420169422,0.442054936,0.816522936,0.934695864,0.871600179,0.239291053,0.530691956,0.571053572
1.1E+12,0.420169422,0.442054936,0.816522936,0.934695864,0.871600179,0.239291053,0.530691956,0.571053572
1.2E+12,0.487134608,0.578093968,0.804962875,0.868951902,0.668925705,0.455888872,0.536264404,0.904066976
1.2E+12,0.487134608,0.578093968,0.804962875,0.868951902,0.668925705,0.455888872,0.536264404,0.904066976
1.3E+12,0.579522745,0.931798986,0.786240158,0.931516101,0.643469352,0.283224854,0.947145941,0.439286848
1.3E+12,0.579522745,0.931798986,0.786240158,0.931516101,0.643469352,0.283224854,0.947145941,0.439286848
1.4E+12,0.509546856,0.871600179,0.724516192,0.667629742,0.86090983,0.391036091,0.89218351,0.144319573
1.4E+12,0.509546856,0.871600179,0.724516192,0.667629742,0.86090983,0.391036091,0.89218351,0.144319573
1.5E+12,0.775544935,0.902475903,0.846870777,0.375086741,0.875221751,0.460525689,0.981301293,0.097265567
1.5E+12,0.775544935,0.902475903,0.846870777,0.375086741,0.875221751,0.460525689,0.981301293,0.097265567
1.6E+12,0.884789598,0.642008094,0.653335122,0.56421501,0.639620924,0.515487281,0.986062239,0.208468351
1.6E+12,0.884789598,0.642008094,0.653335122,0.56421501,0.639620924,0.515487281,0.986062239,0.208468351
1.7E+12,0.906711472,0.911152609,0.668925705,0.754734781,0.601116375,0.461658721,0.608441146,0.288778973
1.7E+12,0.906711472,0.911152609,0.668925705,0.754734781,0.601116375,0.461658721,0.608441146,0.288778973
1.8E+12,0.932942578,0.929294151,0.651576399,0.702925119,0.368175113,0.505359015,0.751127616,0.422866889
1.8E+12,0.932942578,0.929294151,0.651576399,0.702925119,0.368175113,0.505359015,0.751127616,0.422866889
1.9E+12,0.830582832,0.824578316,0.490289392,0.62838812,0.70268776,0.696074444,0.72811484,0.354512558
1.9E+12,0.830582832,0.824578316,0.490289392,0.62838812,0.70268776,0.696074444,0.72811484,0.354512558
2E+12,0.777522516,0.782214385,0.499502322,0.556869346,0.745007735,0.624963601,0.881350368,0.435069234
2E+12,0.777522516,0.782214385,0.499502322,0.556869346,0.745007735,0.624963601,0.881350368,0.435069234
2.1E+12,0.955945097,0.762905372,0.528942198,0.672852377,0.469120073,0.623860719,0.92377219,0.542076849
2.1E+12,0.955945097,0.762905372,0.528942198,0.672852377,0.469120073,0.623860719,0.92377219,0.542076849
2.2E+12,0.931234391,0.658831358,0.28860904,0.907749151,0.332324308,0.710583019,0.964749626,0.548040177
2.2E+12,0.931234391,0.658831358,0.28860904,0.907749151,0.332324308,0.710583019,0.964749626,0.548040177
2.3E+12,0.836706624,0.337495486,0.297536056,0.969469797,0.226160999,0.801270497,0.684669323,0.480413367
2.3E+12,0.836706624,0.337495486,0.297536056,0.969469797,0.226160999,0.801270497,0.684669323,0.480413367
2.4E+12,0.862423772,0.560130952,0.454925975,0.946417974,0.299062677,0.758705378,0.827935256,0.409316154
2.4E+12,0.862423772,0.560130952,0.454925975,0.946417974,0.299062677,0.758705378,0.827935256,0.409316154
2.5E+12,0.767821485,0.405189529,0.308893638,0.904468966,0.314549827,0.424280711,0.965868278,0.443662323
2.5E+12,0.767821485,0.405189529,0.308893638,0.904468966,0.314549827,0.424280711,0.965868278,0.443662323
2.6E+12,0.92226732,0.5156995,0.287462061,0.883138879,0.237929064,0.385319256,0.879589202,0.5706877
2.6E+12,0.92226732,0.5156995,0.287462061,0.883138879,0.237929064,0.385319256,0.879589202,0.5706877
2.7E+12,0.898989391,0.535387751,0.380437681,0.948632998,0.30267346,0.312138259,0.864095365,0.76190511
2.7E+12,0.898989391,0.535387751,0.380437681,0.948632998,0.30267346,0.312138259,0.864095365,0.76190511
2.8E+12,0.661546547,0.366735137,0.431866797,0.812085617,0.330572132,0.404115858,0.505095582,0.767033378
2.8E+12,0.661546547,0.366735137,0.431866797,0.812085617,0.330572132,0.404115858,0.505095582,0.767033378
2.9E+12,0.587780859,0.522262092,0.442715712,0.892005658,0.165744204,0.321962645,0.682470233,0.729172221
